variable,label,col_type,missing
source,"Sample source (CASNR = College of Agricultural Sciences and Natural Resources, SONA = SONA study pool, REP = Study 2)",chr,0
id,Participant ID,chr,0
date,Date of survey completion,dttm,0
ownership,Whether participant currently owned animal,chr,0
chosen_animal,Animal species chosen to answer questions about,chr,265
companion_livestock,Whether chosen animal was considered pet/companion animal or livestock,dbl,265
animal_experience - Dog,Amount of experience with dogs (Study 1) or presence/absence of experience with dogs (Study 2),dbl,75
animal_experience - Cat,Amount of experience with cats (Study 1) or presence/absence of experience with cats (Study 2),dbl,157
animal_experience - Fish,Amount of experience with fish (Study 1),dbl,265
animal_experience - Bird,Amount of experience with birds (Study 1),dbl,265
animal_experience - Rabbit,Amount of experience with rabbits (Study 1),dbl,265
animal_experience - Ferret,Amount of experience with ferrets (Study 1),dbl,265
"animal_experience - Small rodent (e.g., hamster, gerbil, chinchilla)",Amount of experience with small rodents (Study 1),dbl,265
animal_experience - Reptile,Amount of experience with reptiles (Study 1),dbl,265
animal_experience - Horse,Amount of experience with horses (Study 1) or presence/absence of experience with horses (Study 2),dbl,237
animal_experience - Cow,Amount of experience with cows (Study 1),dbl,265
animal_experience - Pig,Amount of experience with pigs (Study 1),dbl,265
animal_experience - Goat,Amount of experience with goats (Study 1),dbl,265
animal_experience - Sheep,Amount of experience with sheep (Study 1),dbl,265
animal_experience - Llama,Amount of experience with llamas (Study 1),dbl,265
animal_experience - Poultry,Amount of experience with poultry (Study 1),dbl,265
animal_experience - Small animal,Presence/absence of experience with small animals (Study 2),dbl,651
animal_experience - Large animal,Presence/absence of experience with large animals (Study 2),dbl,639
animal_experience - Other,Presence/absence of experience with other animals (Study 2),chr,694
animal_activities - Feeding,Time spent feeding the chosen animal,dbl,265
animal_activities - Cleaning,Time spent cleaning the chosen animal,dbl,265
animal_activities - Grooming,Time spent grooming the chosen animal,dbl,265
animal_activities - Training,Time spent training the chosen animal,dbl,265
animal_activities - Petting/playing,Time spent petting/playing with the chosen animal,dbl,265
animal_activities - Engaging in therapy sessions,Time spent engaging in therapy sessions with the chosen animal,dbl,265
animal_activities - Riding/handling,Time spent riding/handling the chosen animal,dbl,265
animal_activities - Horseback riding,Time spent horseback riding,dbl,432
animal_activities - Dog showing or livestock competitions,Time spent showing dogs or in livestock competitions,dbl,432
animal_activities - Animal-related club or extracurricular activity,Time spent in animal-related club or extracurricular activities,dbl,432
animal_activities - Volunteering in an animal shelter or animal therapy program,Time spent volunteering in an animal shelter or animal therapy program,dbl,432
activities_score,Combined score for animal activities,dbl,0
care_score,Combined score for animal care,dbl,43
ccas1,Comfort from Companion Animals Scale question 1 - My animal provides me with companionship,dbl,16
ccas2,Comfort from Companion Animals Scale question 2 - My animal makes me feel needed,dbl,19
ccas3,Comfort from Companion Animals Scale question 3 - My animal makes me feel loved,dbl,19
ccas4,Comfort from Companion Animals Scale question 4 - Having an animal gives me something to care for,dbl,265
ccas5,Comfort from Companion Animals Scale question 5 - My animal provides me with pleasurable activity,dbl,265
ccas6,Comfort from Companion Animals Scale question 6 - My animal is a source of constancy in my life,dbl,265
ccas7,Comfort from Companion Animals Scale question 7 - My animal makes me play and laugh,dbl,265
ccas8,Comfort from Companion Animals Scale question 8 - Having an animal gives me something to love,dbl,265
ccas9,Comfort from Companion Animals Scale question 9 - I get comfort from touching my animal,dbl,265
ccas10,Comfort from Companion Animals Scale question 10 - I enjoy watching my animal,dbl,265
ccas11,Comfort from Companion Animals Scale question 11 - My animal makes me feel trusted,dbl,265
laps1,Lexington Attachment to Pets Scale question 1 - My animal means more to me than any of my friends,dbl,265
